name,level,logo,link
Kaiser Permanente,1 - Presenting,https://storage.googleapis.com/sfpride/sponsors/2023/kaiserpermanente.webp,https://healthy.kaiserpermanente.org/northern-california
Oakland LGBT Center,1 - Presenting,https://storage.googleapis.com/oaklandpride-archive/Copy%20of%20Oakland_LGBTQ_Community_Center_Logo_RGB_Square.jpg,https://www.oaklandlgbtqcenter.org/
Diageo (Bicardi) (1 of 3),2 - Gold,https://storage.googleapis.com/oaklandpride-archive/bacardi.svg,,
Diageo (Greygoose) (2 of 3),2 - Gold,https://storage.googleapis.com/oaklandpride-archive/greygoose.png,,
Diageo (Patron) (3 of 3),2 - Gold,https://storage.googleapis.com/oaklandpride-archive/Patron.png,,
IKE Smart City,2 - Gold,https://storage.googleapis.com/oaklandpride-archive/IKESmartCity_color_CMYK.png,,
Delta Dental,3 - Participating,https://storage.googleapis.com/oaklandpride-archive/DD-Logo-16x9.jpg,,
Planned Parenthood,3 - Participating,https://storage.googleapis.com/oaklandpride-archive/Planned%20Parenthoot%20image%20(7).png,,
SEIU 1021,3 - Participating,https://storage.googleapis.com/oaklandpride-archive/seiu%201021%20logo%20black.png,,
SF Bay Ferry,3 - Participating,https://storage.googleapis.com/oaklandpride-archive/SFBF_stackedlogo_Alt_fullcolor_overwhite.png,,
106.1 KMEL Radio,4 - In-Kind,https://storage.googleapis.com/oaklandpride-archive/KMEL-Logo_Stacked.png,,
Pride Radio,4 - In-Kind,https://storage.googleapis.com/oaklandpride-archive/PRIDE_Radio_FullRainbow%20(1)%20(2)%20(2).png,,
BART,4 - In-Kind,https://storage.googleapis.com/oaklandpride-archive/bartable_URL-LOCKUP.png,https://www.bart.gov/
